 0 1 2 3 4 5
0 Origin Target Feature HTER APCER BPCER
1 cbsr nuaa depth 0.37270737954211486 0.4756348661633493 0.26977989292088045
2 cbsr nuaa illumination 0.5088149600464148 0.11667810569663692 0.9009518143961928
3 cbsr nuaa saliency 0.4767355962668397 0.4107755662319835 0.5426956263016959
4 cbsr ra depth 0.48 0.43857142857142856 0.5214285714285715
5 cbsr ra illumination 0.4164285714285714 0.032857142857142856 0.8
6 cbsr ra saliency 0.47785714285714287 0.6271428571428571 0.32857142857142857
7 nuaa cbsr depth 0.44560099132589837 0.6245353159851301 0.26666666666666666
8 nuaa cbsr illumination 0.5534076827757125 0.8401486988847584 0.26666666666666666
9 nuaa cbsr saliency 0.4315400359216407 0.2788104089219331 0.5842696629213483
10 nuaa ra depth 0.53 0.2225 0.8375
11 nuaa ra illumination 0.55375 0.8825 0.225
12 nuaa ra saliency 0.6125 0.9125 0.3125
13 ra cbsr depth 0.43333333333333335 0.08888888888888889 0.7777777777777778
14 ra cbsr illumination 0.5018518518518519 0.003703703703703704 1.0
15 ra cbsr saliency 0.5279429987608426 0.08921933085501858 0.9666666666666667
16 ra nuaa depth 0.6494289807722222 0.5284831846259437 0.7703747769185009
17 ra nuaa illumination 0.5113355615284395 0.03397391901166781 0.9886972040452112
18 ra nuaa saliency 0.5629894728931747 0.15305422100205904 0.9729247247842904
19 nuaa_cbsr ra depth 0.47625000000000006 0.2775 0.675
20 nuaa_cbsr ra illumination 0.3675 0.51 0.225
21 nuaa_cbsr ra saliency 0.5475 0.745 0.35
22 nuaa_ra cbsr depth 0.3682198377830348 0.3159851301115242 0.42045454545454547
23 nuaa_ra cbsr illumination 0.3932835820895522 0.1865671641791045 0.6
24 nuaa_ra cbsr saliency 0.6184578756108767 0.37174721189591076 0.8651685393258427
25 cbsr_ra nuaa depth 0.5100227950402108 0.47185998627316406 0.5481856038072576
26 cbsr_ra nuaa illumination 0.5051574646101182 0.04392587508579272 0.9663890541344438
27 cbsr_ra nuaa saliency 0.602628570646748 0.3352779684282773 0.8699791728652186
