 0 1 2 3 4
0 Origin Target HTER APCER BPCER
1 cbsr cbsr 0.0 0.0 0.0
2 cbsr nuaa 0.4423951155551855 0.24849785407725322 0.6362923770331178
3 cbsr ra 0.43785714285714283 0.2757142857142857 0.6
4 nuaa cbsr 0.5074074074074074 0.9481481481481482 0.06666666666666667
5 nuaa nuaa 0.04506473512593366 0.08562231759656652 0.004507152655300804
6 nuaa ra 0.5642857142857143 0.8928571428571429 0.2357142857142857
7 ra cbsr 0.4981481481481482 0.007407407407407408 0.9888888888888889
8 ra nuaa 0.5267455859929234 0.10150214592274678 0.9519890260631001
9 ra ra 0.0 0.0 0.0
10 nuaa_cbsr cbsr 0.003703703703703704 0.007407407407407408 0.0
11 nuaa_cbsr nuaa 0.07779972901575191 0.14678111587982834 0.008818342151675485
12 nuaa_cbsr ra 0.4392857142857143 0.6142857142857143 0.2642857142857143
13 nuaa_cbsr nuaa_cbsr 0.07371422522673486 0.13914807302231239 0.008280377431157327
14 nuaa_ra cbsr 0.36296296296296293 0.6148148148148148 0.1111111111111111
15 nuaa_ra nuaa 0.12341276149096846 0.20214592274678111 0.04467960023515579
16 nuaa_ra ra 0.002857142857142857 0.005714285714285714 0.0
17 nuaa_ra nuaa_ra 0.10999162707348248 0.17630597014925373 0.04367728399771124
18 cbsr_ra nuaa 0.5062162163298707 0.1590128755364807 0.8534195571232608
19 cbsr_ra ra 0.0 0.0 0.0
20 cbsr_ra cbsr_ra 0.0 0.0 0.0
