 0 1 2 3 4
0 Origin Attack HTER APCER BPCER
1 cbsr tablet 0.016666666666666666 0.03333333333333333 0.0
2 cbsr all 0.10370370370370371 0.007407407407407408 0.2
3 cbsr print 0.03888888888888889 0.06666666666666667 0.011111111111111112
4 cbsr cut 0.11388888888888889 0.21666666666666667 0.011111111111111112
5 nuaa all 0.44367739525834005 0.28277282086479066 0.6045819696518894
6 ra highdef 0.1 0.0625 0.1375
7 ra all 0.10750000000000001 0.015 0.2
8 ra print 0.075 0.1125 0.0375
9 ra mobile 0.1 0.0375 0.1625
